RouteId,Route,Order,DisplayName,OriginalName,Latitude,Longitude,GoogleMapsPoint,GoogleMapsFromCurrent,WazePoint
3,Маршрут №3,3,Коло Мрії / Стеценка — в’їзд для проїзду прямо,Маршрут №3. Розворот по колу 1,50.4862313,30.3960858,"https://www.google.com/maps/search/?api=1&query=50.4862313,30.3960858","https://www.google.com/maps/dir/?api=1&destination=50.4865287,30.3944730&travelmode=driving&dir_action=navigate&waypoints=50.4862313,30.3960858|50.4866255,30.3954930|50.4809593,30.4072924|50.4814638,30.3993498|50.4719213,30.3959536|50.4865494,30.3962091|50.4878561,30.3942440",https://waze.com/ul?ll=50.4862313%2C30.3960858&navigate=yes
3,Маршрут №3,4,Коло Мрії / Стеценка — виїзд після проїзду прямо,Маршрут №3. Розворот по колу 2,50.4866255,30.3954930,"https://www.google.com/maps/search/?api=1&query=50.4866255,30.3954930","https://www.google.com/maps/dir/?api=1&destination=50.4865287,30.3944730&travelmode=driving&dir_action=navigate&waypoints=50.4866255,30.3954930|50.4809593,30.4072924|50.4814638,30.3993498|50.4719213,30.3959536|50.4865494,30.3962091|50.4878561,30.3942440",https://waze.com/ul?ll=50.4866255%2C30.3954930&navigate=yes
3,Маршрут №3,5,Район Данила Щербаківського / Марченка — розворот,Маршрут №3. Розворот по Марчука,50.4809593,30.4072924,"https://www.google.com/maps/search/?api=1&query=50.4809593,30.4072924","https://www.google.com/maps/dir/?api=1&destination=50.4865287,30.3944730&travelmode=driving&dir_action=navigate&waypoints=50.4809593,30.4072924|50.4814638,30.3993498|50.4719213,30.3959536|50.4865494,30.3962091|50.4878561,30.3942440",https://waze.com/ul?ll=50.4809593%2C30.4072924&navigate=yes
3,Маршрут №3,6,Вул. Ігоря Турчина — контрольна точка,Маршрут №3. Турчина,50.4814638,30.3993498,"https://www.google.com/maps/search/?api=1&query=50.4814638,30.3993498","https://www.google.com/maps/dir/?api=1&destination=50.4865287,30.3944730&travelmode=driving&dir_action=navigate&waypoints=50.4814638,30.3993498|50.4719213,30.3959536|50.4865494,30.3962091|50.4878561,30.3942440",https://waze.com/ul?ll=50.4814638%2C30.3993498&navigate=yes
3,Маршрут №3,7,Розворот на вул. Салютній,Маршрут №3. Розворот на Салютній,50.4719213,30.3959536,"https://www.google.com/maps/search/?api=1&query=50.4719213,30.3959536","https://www.google.com/maps/dir/?api=1&destination=50.4865287,30.3944730&travelmode=driving&dir_action=navigate&waypoints=50.4719213,30.3959536|50.4865494,30.3962091|50.4878561,30.3942440",https://waze.com/ul?ll=50.4719213%2C30.3959536&navigate=yes
3,Маршрут №3,8,Коло Мрії / Стеценка — контрольна точка,Маршрут №3. Повернення на Стеценка,50.4865494,30.3962091,"https://www.google.com/maps/search/?api=1&query=50.4865494,30.3962091","https://www.google.com/maps/dir/?api=1&destination=50.4865287,30.3944730&travelmode=driving&dir_action=navigate&waypoints=50.4865494,30.3962091|50.4878561,30.3942440",https://waze.com/ul?ll=50.4865494%2C30.3962091&navigate=yes
3,Маршрут №3,9,Поворот на Сирецько-Садову перед поверненням до ТСЦ,Маршрут №3. Поворот на Сирецько-Садову,50.4878561,30.3942440,"https://www.google.com/maps/search/?api=1&query=50.4878561,30.3942440","https://www.google.com/maps/dir/?api=1&destination=50.4865287,30.3944730&travelmode=driving&dir_action=navigate&waypoints=50.4878561,30.3942440",https://waze.com/ul?ll=50.4878561%2C30.3942440&navigate=yes
3,Маршрут №3,10,"Фініш — ТСЦ МВС 8042, вул. Мрії, 19",Маршрут №3. Завершення Маршруту,50.4865287,30.3944730,"https://www.google.com/maps/search/?api=1&query=50.4865287,30.3944730","https://www.google.com/maps/dir/?api=1&destination=50.4865287,30.3944730&travelmode=driving&dir_action=navigate",https://waze.com/ul?ll=50.4865287%2C30.3944730&navigate=yes
4,Маршрут №4,1,"Старт — ТСЦ МВС 8042, вул. Мрії, 19",Маршрут №4. Початок маршруту,50.4866718,30.3940689,"https://www.google.com/maps/search/?api=1&query=50.4866718,30.3940689","https://www.google.com/maps/dir/?api=1&destination=50.4866144,30.3942564&travelmode=driving&dir_action=navigate&waypoints=50.4866718,30.3940689|50.4862451,30.3960940|50.4865760,30.3954385|50.4811307,30.4070384|50.4722305,30.4057989|50.4726402,30.3959548|50.4868422,30.3956716|50.4878534,30.3941866",https://waze.com/ul?ll=50.4866718%2C30.3940689&navigate=yes
4,Маршрут №4,2,Коло Мрії / Стеценка — в’їзд для проїзду прямо,Маршрут №4. Розворот по колу 1,50.4862451,30.3960940,"https://www.google.com/maps/search/?api=1&query=50.4862451,30.3960940","https://www.google.com/maps/dir/?api=1&destination=50.4866144,30.3942564&travelmode=driving&dir_action=navigate&waypoints=50.4862451,30.3960940|50.4865760,30.3954385|50.4811307,30.4070384|50.4722305,30.4057989|50.4726402,30.3959548|50.4868422,30.3956716|50.4878534,30.3941866",https://waze.com/ul?ll=50.4862451%2C30.3960940&navigate=yes
4,Маршрут №4,3,Коло Мрії / Стеценка — виїзд після проїзду прямо,Маршрут №4. Розворот по колу 2,50.4865760,30.3954385,"https://www.google.com/maps/search/?api=1&query=50.4865760,30.3954385","https://www.google.com/maps/dir/?api=1&destination=50.4866144,30.3942564&travelmode=driving&dir_action=navigate&waypoints=50.4865760,30.3954385|50.4811307,30.4070384|50.4722305,30.4057989|50.4726402,30.3959548|50.4868422,30.3956716|50.4878534,30.3941866",https://waze.com/ul?ll=50.4865760%2C30.3954385&navigate=yes
4,Маршрут №4,4,Район Данила Щербаківського / Марченка — розворот,Маршрут №4. Розворот через Марченка,50.4811307,30.4070384,"https://www.google.com/maps/search/?api=1&query=50.4811307,30.4070384","https://www.google.com/maps/dir/?api=1&destination=50.4866144,30.3942564&travelmode=driving&dir_action=navigate&waypoints=50.4811307,30.4070384|50.4722305,30.4057989|50.4726402,30.3959548|50.4868422,30.3956716|50.4878534,30.3941866",https://waze.com/ul?ll=50.4811307%2C30.4070384&navigate=yes
4,Маршрут №4,5,Поворот на вул. Салютній,Маршрут №4. Поворот на Салютній,50.4722305,30.4057989,"https://www.google.com/maps/search/?api=1&query=50.4722305,30.4057989","https://www.google.com/maps/dir/?api=1&destination=50.4866144,30.3942564&travelmode=driving&dir_action=navigate&waypoints=50.4722305,30.4057989|50.4726402,30.3959548|50.4868422,30.3956716|50.4878534,30.3941866",https://waze.com/ul?ll=50.4722305%2C30.4057989&navigate=yes
4,Маршрут №4,6,Поворот на вул. Мрії,Маршрут №4. Поворот на Мрії,50.4726402,30.3959548,"https://www.google.com/maps/search/?api=1&query=50.4726402,30.3959548","https://www.google.com/maps/dir/?api=1&destination=50.4866144,30.3942564&travelmode=driving&dir_action=navigate&waypoints=50.4726402,30.3959548|50.4868422,30.3956716|50.4878534,30.3941866",https://waze.com/ul?ll=50.4726402%2C30.3959548&navigate=yes
4,Маршрут №4,7,Коло Мрії / Стеценка — контрольна точка,Маршрут №4. Поворот на Стеценка,50.4868422,30.3956716,"https://www.google.com/maps/search/?api=1&query=50.4868422,30.3956716","https://www.google.com/maps/dir/?api=1&destination=50.4866144,30.3942564&travelmode=driving&dir_action=navigate&waypoints=50.4868422,30.3956716|50.4878534,30.3941866",https://waze.com/ul?ll=50.4868422%2C30.3956716&navigate=yes
4,Маршрут №4,8,Поворот на Сирецько-Садову перед поверненням до ТСЦ,Маршрут №4. Поворот на Сирецько-Садову,50.4878534,30.3941866,"https://www.google.com/maps/search/?api=1&query=50.4878534,30.3941866","https://www.google.com/maps/dir/?api=1&destination=50.4866144,30.3942564&travelmode=driving&dir_action=navigate&waypoints=50.4878534,30.3941866",https://waze.com/ul?ll=50.4878534%2C30.3941866&navigate=yes
4,Маршрут №4,9,"Фініш — ТСЦ МВС 8042, вул. Мрії, 19",Маршрут №4. Завершення маршруту,50.4866144,30.3942564,"https://www.google.com/maps/search/?api=1&query=50.4866144,30.3942564","https://www.google.com/maps/dir/?api=1&destination=50.4866144,30.3942564&travelmode=driving&dir_action=navigate",https://waze.com/ul?ll=50.4866144%2C30.3942564&navigate=yes
5,Маршрут №5,1,"Старт — ТСЦ МВС 8042, вул. Мрії, 19",Маршрут №5. Початок маршруту,50.4866718,30.3940689,"https://www.google.com/maps/search/?api=1&query=50.4866718,30.3940689","https://www.google.com/maps/dir/?api=1&destination=50.4865714,30.3943052&travelmode=driving&dir_action=navigate&waypoints=50.4866718,30.3940689|50.4862406,30.3961152|50.4865564,30.3954339|50.4813582,30.4065793|50.4699381,30.4058279|50.4821696,30.4051154|50.4872997,30.3943978",https://waze.com/ul?ll=50.4866718%2C30.3940689&navigate=yes
5,Маршрут №5,2,Коло Мрії / Стеценка — в’їзд для проїзду прямо,Маршрут №5. Розворот по колу 1,50.4862406,30.3961152,"https://www.google.com/maps/search/?api=1&query=50.4862406,30.3961152","https://www.google.com/maps/dir/?api=1&destination=50.4865714,30.3943052&travelmode=driving&dir_action=navigate&waypoints=50.4862406,30.3961152|50.4865564,30.3954339|50.4813582,30.4065793|50.4699381,30.4058279|50.4821696,30.4051154|50.4872997,30.3943978",https://waze.com/ul?ll=50.4862406%2C30.3961152&navigate=yes
